date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:39:37	5471/5471	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2012%20Apr%202025%2023:39:35%20GMT	https://web.archive.org/web/20131208233931im_/http://bitcoin.org/img/but_bitcoin.svg	/home/hamid/shaftcoin/web.archive.org/web/20131208233931im_/http_/bitcoin.org/img/but_bitcoin.svg	(from https://shaftcoin/)
01:39:39	96624/96624	---M--	200	added ('OK')	image/jpeg	etag:%22cfNggzTStHL2wu64UI5KWMTE6hVi5B9ZYqwKR-xe15DQ%22	https://memedepot.com/cdn-cgi/imagedelivery/naCPMwxXX46-hrE49eZovw/8ab153bb-b3bc-453b-fb07-42e669f0ad00/width=1080,quality=100	/home/hamid/shaftcoin/memedepot.com/cdn-cgi/imagedelivery/naCPMwxXX46-hrE49eZovw/8ab153bb-b3bc-453b-fb07-42e669f0ad00/width=1080,quality=100.jpg	(from https://shaftcoin/)
01:39:39	100313/100313	---M--	200	added ('OK')	image/jpeg	date:Fri,%2007%20Feb%202025%2019:43:16%20GMT	https://pbs.twimg.com/media/GjNZOvGWQAAIb0a?format=jpg&name=900x900	/home/hamid/shaftcoin/pbs.twimg.com/media/GjNZOvGWQAAIb0a16e2.jpg	(from https://shaftcoin/)
01:39:40	6515/6515	---M--	200	added ('OK')	image/jpeg	date:Sat,%2001%20Jul%202023%2017:58:07%20GMT	https://pbs.twimg.com/profile_images/1675202638026252291/4StTDIF4_400x400.jpg	/home/hamid/shaftcoin/pbs.twimg.com/profile_images/1675202638026252291/4StTDIF4_400x400.jpg	(from https://shaftcoin/)
01:39:41	8098/8098	---M--	200	added ('OK')	image/jpeg	date:Mon,%2020%20Dec%202021%2014:11:53%20GMT	https://pbs.twimg.com/profile_images/1472933274209107976/6u-LQfjG_400x400.jpg	/home/hamid/shaftcoin/pbs.twimg.com/profile_images/1472933274209107976/6u-LQfjG_400x400.jpg	(from https://shaftcoin/)
01:39:43	96363/96363	---M--	200	added ('OK')	image/png	etag:W/%221e3cc-1951a0472b0%22	https://pump.fun/board?include-nsfw=true_next/static/media/tradingLight.b666bea1.png	/home/hamid/shaftcoin/ShaftCoin.degenfi.ai/_next/static/media/tradingLight.b666bea1.png	(from https://shaftcoin/)
01:39:43	205399/205399	---M--	200	added ('OK')	image/jpeg	etag:%22cfjlOyMbq6m9dIwpU1esuHnTfUVi5B9ZYqwKR-xe15DQ%22	https://memedepot.com/cdn-cgi/imagedelivery/naCPMwxXX46-hrE49eZovw/77ddb80c-999b-4da5-9e54-445374f86900/width=1080,quality=100	/home/hamid/shaftcoin/memedepot.com/cdn-cgi/imagedelivery/naCPMwxXX46-hrE49eZovw/77ddb80c-999b-4da5-9e54-445374f86900/width=1080,quality=100.jpg	(from https://shaftcoin/)
01:39:45	55637/55637	---M--	200	added ('OK')	image/jpeg	etag:%22cfSs7bUCm8fL51pjRZeFkc9JsNVi5B9ZYqwKR-xe15DQ%22	https://memedepot.com/cdn-cgi/imagedelivery/naCPMwxXX46-hrE49eZovw/a5f109d6-a1b8-4969-37e6-f1a2791e7700/width=1080,quality=100	/home/hamid/shaftcoin/memedepot.com/cdn-cgi/imagedelivery/naCPMwxXX46-hrE49eZovw/a5f109d6-a1b8-4969-37e6-f1a2791e7700/width=1080,quality=100.jpg	(from https://shaftcoin/)
01:39:45	306251/306251	---M--	200	added ('OK')	image/jpeg	etag:%22cf81IR6naFbhAeJNZOK2FNojiDVi5B9ZYqwKR-xe15DQ%22	https://memedepot.com/cdn-cgi/imagedelivery/naCPMwxXX46-hrE49eZovw/a8e3e2d7-e633-439a-b82a-af2d7ef3cb00/width=1080,quality=100	/home/hamid/shaftcoin/memedepot.com/cdn-cgi/imagedelivery/naCPMwxXX46-hrE49eZovw/a8e3e2d7-e633-439a-b82a-af2d7ef3cb00/width=1080,quality=100.jpg	(from https://shaftcoin/)
01:39:46	6746/6746	---M--	200	added ('OK')	image/jpeg	date:Sat,%2012%20Oct%202019%2020:28:14%20GMT	https://pbs.twimg.com/profile_images/1183117696730390529/LRDASku7_400x400.jpg	/home/hamid/shaftcoin/pbs.twimg.com/profile_images/1183117696730390529/LRDASku7_400x400.jpg	(from https://shaftcoin/)
01:39:47	10925/10925	---M--	200	added ('OK')	image/jpeg	date:Tue,%2025%20Jul%202023%2017:54:45%20GMT	https://pbs.twimg.com/profile_images/1683899100922511378/5lY42eHs_400x400.jpg	/home/hamid/shaftcoin/pbs.twimg.com/profile_images/1683899100922511378/5lY42eHs_400x400.jpg	(from https://shaftcoin/)
01:39:48	57448/57448	---M--	200	added ('OK')	image/jpeg	etag:%22cfrUxotdSe6r999hEtCTEC7ltdbEw49ortTCP_N7kiDQ%22	https://memedepot.com/cdn-cgi/imagedelivery/naCPMwxXX46-hrE49eZovw/48bf32bd-6cfe-4ebd-9a0b-b2da194b1b00/public	/home/hamid/shaftcoin/memedepot.com/cdn-cgi/imagedelivery/naCPMwxXX46-hrE49eZovw/48bf32bd-6cfe-4ebd-9a0b-b2da194b1b00/public.jpg	(from https://shaftcoin/)
01:39:48	2590/2590	---M--	200	added ('OK')	image/png	date:Tue,%2021%20Jan%202025%2022:46:50%20GMT	https://pbs.twimg.com/profile_images/1881836380302557184/WAeW-Tft_400x400.png	/home/hamid/shaftcoin/pbs.twimg.com/profile_images/1881836380302557184/WAeW-Tft_400x400.png	(from https://shaftcoin/)
01:39:49	12690/12690	---M--	200	added ('OK')	image/jpeg	date:Wed,%2029%20Nov%202023%2017:04:48%20GMT	https://pbs.twimg.com/profile_images/1729909787029078016/dBjB3Fnr_400x400.jpg	/home/hamid/shaftcoin/pbs.twimg.com/profile_images/1729909787029078016/dBjB3Fnr_400x400.jpg	(from https://shaftcoin/)
01:39:50	10899/10899	---M--	200	added ('OK')	image/jpeg	date:Wed,%2015%20Jan%202025%2000:59:26%20GMT	https://pbs.twimg.com/profile_images/1879333037005053953/e1dnDyxK_400x400.jpg	/home/hamid/shaftcoin/pbs.twimg.com/profile_images/1879333037005053953/e1dnDyxK_400x400.jpg	(from https://shaftcoin/)
01:39:51	4248/4248	---M--	200	added ('OK')	image/jpeg	etag:%225bd1f2b5a81dc020e803ee7c98cd5888%22	https://assets.coingecko.com/markets/images/409/large/MEXC_logo_square.jpeg?1706864416	/home/hamid/shaftcoin/assets.coingecko.com/markets/images/409/large/MEXC_logo_squarec6f2.jpg	(from https://shaftcoin/)
01:39:52	5674/5674	---M--	200	added ('OK')	image/jpeg	etag:%2237df8412bf9ab25712f06805d0917c54%22	https://assets.coingecko.com/markets/images/60/large/gate_io_logo1.jpg?1706864280	/home/hamid/shaftcoin/assets.coingecko.com/markets/images/60/large/gate_io_logo17f4d.jpg	(from https://shaftcoin/)
01:39:53	3362/3362	---M--	200	added ('OK')	image/png	etag:%22e464817635d5860251e89928fbd0d305%22	https://assets.coingecko.com/markets/images/11715/large/KCEX_logo.png?1733124687	/home/hamid/shaftcoin/assets.coingecko.com/markets/images/11715/large/KCEX_logo16bb.png	(from https://shaftcoin/)
01:39:54	6136/6136	---M--	200	added ('OK')	image/jpeg	etag:%22a44c552acc5f74064e9066b341e3d9d2%22	https://assets.coingecko.com/markets/images/540/large/2023-07-25_21.47.43.jpg?1706864507	/home/hamid/shaftcoin/assets.coingecko.com/markets/images/540/large/2023-07-25_21.47.43f2e9.jpg	(from https://shaftcoin/)
01:39:56	2082/2082	---MCZ	200	added ('OK')	image/svg+xml	date:Sat,%2012%20Apr%202025%2000:23:57%20GMT	https://neverless.com/_next/static/media/colorLogoSmall.085a8012.svg	/home/hamid/shaftcoin/neverless.com/_next/static/media/colorLogoSmall.085a8012.svg	(from https://shaftcoin/)
01:39:56	42616/42616	---M--	200	added ('OK')	image/jpeg	etag:%2212128ef005c5e2a6cc3d032f269d62a6%22	https://www.dlnews.com/resizer/v2/RIRRJY5ESJE2HGD3VBUIOXSAXI.jpg?auth=eeb12a665cc4bc6a8b5e50c50944c2873c4632dd93152b9e5df3ab41ca1b1d40&width=1200&height=675&focal=825%2C540	/home/hamid/shaftcoin/www.dlnews.com/resizer/v2/RIRRJY5ESJE2HGD3VBUIOXSAXI2af4.jpg	(from https://shaftcoin/)
01:39:57	7700/7700	---MCZ	403	error ('Forbidden')	text/html	date:Sat,%2012%20Apr%202025%2023:39:57%20GMT	https://images.seeklogo.com/logo-png/49/3/dl-news-logo-png_seeklogo-498196.png?v=1957812104884986016	/home/hamid/shaftcoin/images.seeklogo.com/logo-png/49/3/dl-news-logo-png_seeklogo-498196.1d74de.delayed	(from https://shaftcoin/)
01:39:59	51/51	---MCZ	200	added ('OK')	text/plain	date:Sat,%2012%20Apr%202025%2023:39:58%20GMT	https://fonts.googleapis.com/robots.txt		(from https://shaftcoin/)
01:40:00	198689/198689	---M-Z	200	added ('OK')	application/javascript	etag:%2261ec4640-b567%22	https://cdnjs.cloudflare.com/ajax/libs/html2canvas/1.4.1/html2canvas.min.js	/home/hamid/shaftcoin/cdnjs.cloudflare.com/ajax/libs/html2canvas/1.4.1/html2canvas.min.js	(from https://shaftcoin/dominance.html)
01:40:01	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2012%20Apr%202025%2023:40:00%20GMT	https://shaftcoin/index.html	/home/hamid/shaftcoin/shaftcoin/index.1f.delayed	(from https://shaftcoin/dominance.html)
01:40:01	0/-1	---M--	301	error ('')			https://shaftcoin/index.html	/home/hamid/shaftcoin/shaftcoin/index.20.delayed	(from https://shaftcoin/dominance.html)
01:40:01	7452/7452	---MCZ	403	error ('Forbidden')	text/html	date:Sat,%2012%20Apr%202025%2023:40:01%20GMT	https://cryptologos.cc/logos/solana-sol-logo.png?v=014	/home/hamid/shaftcoin/cryptologos.cc/logos/solana-sol-logo.21e616.delayed	(from https://shaftcoin/dominance.html)
01:40:02	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2012%20Apr%202025%2023:40:02%20GMT	https://shaftcoin/ShaftCoinDominance.png	/home/hamid/shaftcoin/shaftcoin/ShaftCoinDominance.png	(from https://shaftcoin/dominance.html)
01:40:03	22729/22729	---M--	200	added ('OK')	image/png	date:Sun,%2009%20Feb%202025%2018:14:15%20GMT	https://i.ibb.co/PGy3BQwy/laser-3.png	/home/hamid/shaftcoin/i.ibb.co/PGy3BQwy/laser-3.png	(from https://shaftcoin/memes.html)
01:40:05	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2012%20Apr%202025%2023:40:05%20GMT	https://shaftcoin/meme.png	/home/hamid/shaftcoin/shaftcoin/meme.24.delayed	(from https://shaftcoin/memes.html)
01:40:06	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2012%20Apr%202025%2023:40:06%20GMT	https://shaftcoin/ShaftCoin-laser-eye.png	/home/hamid/shaftcoin/shaftcoin/ShaftCoin-laser-eye.png	(from https://shaftcoin/laser.html)
01:40:07	0/-1	---M--	301	error ('')			https://shaftcoin/index.html	/home/hamid/shaftcoin/shaftcoin/index.26.delayed	(from https://shaftcoin/calculator.html)
01:40:07	0/-1	---M--	301	error ('')			https://shaftcoin/index.html	/home/hamid/shaftcoin/shaftcoin/index.27.delayed	(from https://shaftcoin/calculator.html)
01:40:07	9454/9454	---M--	200	added ('OK')	image/png	etag:%22565e8c524f6da22928811f836d0b92a2%22	https://assets.coingecko.com/coins/images/1/large/bitcoin.png	/home/hamid/shaftcoin/assets.coingecko.com/coins/images/1/large/bitcoin.png	(from https://shaftcoin/calculator.html)
01:40:08	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2012%20Apr%202025%2023:40:08%20GMT	https://shaftcoin/ShaftCoinMarketCapComparison.png	/home/hamid/shaftcoin/shaftcoin/ShaftCoinMarketCapComparison.png	(from https://shaftcoin/calculator.html)
01:40:10	44/44	---M--	200	added ('OK')	text/plain	etag:%220e8552b6f127b4ca6999997cf372679a%22	https://memedepot.com/robots.txt		(from https://shaftcoin/)
01:40:11	69/69	---M-Z	200	added ('OK')	text/plain	date:Sat,%2012%20Apr%202025%2022:27:04%20GMT	https://pbs.twimg.com/robots.txt		(from https://shaftcoin/)
01:40:12	100313/100313	URF---	200	added ('OK%20(cached)')	image/jpeg		https://pbs.twimg.com/media/GjNZOvGWQAAIb0a?format=jpg&name=900x900	/home/hamid/shaftcoin/pbs.twimg.com/media/GjNZOvGWQAAIb0a16e2.jpg	(from https://shaftcoin/)
01:40:12	96363/96363	URF---	200	added ('OK%20(cached)')	image/png		https://pump.fun/board?include-nsfw=true_next/static/media/tradingLight.b666bea1.png	/home/hamid/shaftcoin/ShaftCoin.degenfi.ai/_next/static/media/tradingLight.b666bea1.png	(from https://shaftcoin/)
01:41:43	193/193	UR-M--	412	error ('Precondition%20Failed')	text/plain	date:Sat,%2012%20Apr%202025%2023:40:11%20GMT	https://memedepot.com/cdn-cgi/imagedelivery/naCPMwxXX46-hrE49eZovw/8ab153bb-b3bc-453b-fb07-42e669f0ad00/width=1080,quality=100	/home/hamid/shaftcoin/memedepot.com/cdn-cgi/imagedelivery/naCPMwxXX46-hrE49eZovw/8ab153bb-b3bc-453b-fb07-42e669f0ad00/width=1080,quality=100.jpg	(from https://shaftcoin/)
01:41:43	193/193	UR-M--	412	error ('Precondition%20Failed')	text/plain	date:Sat,%2012%20Apr%202025%2023:40:11%20GMT	https://memedepot.com/cdn-cgi/imagedelivery/naCPMwxXX46-hrE49eZovw/77ddb80c-999b-4da5-9e54-445374f86900/width=1080,quality=100	/home/hamid/shaftcoin/memedepot.com/cdn-cgi/imagedelivery/naCPMwxXX46-hrE49eZovw/77ddb80c-999b-4da5-9e54-445374f86900/width=1080,quality=100.jpg	(from https://shaftcoin/)
01:41:44	193/193	UR-M--	412	error ('Precondition%20Failed')	text/plain	date:Sat,%2012%20Apr%202025%2023:40:12%20GMT	https://memedepot.com/cdn-cgi/imagedelivery/naCPMwxXX46-hrE49eZovw/a8e3e2d7-e633-439a-b82a-af2d7ef3cb00/width=1080,quality=100	/home/hamid/shaftcoin/memedepot.com/cdn-cgi/imagedelivery/naCPMwxXX46-hrE49eZovw/a8e3e2d7-e633-439a-b82a-af2d7ef3cb00/width=1080,quality=100.jpg	(from https://shaftcoin/)
01:41:44	193/193	UR-M--	412	error ('Precondition%20Failed')	text/plain	date:Sat,%2012%20Apr%202025%2023:40:12%20GMT	https://memedepot.com/cdn-cgi/imagedelivery/naCPMwxXX46-hrE49eZovw/a5f109d6-a1b8-4969-37e6-f1a2791e7700/width=1080,quality=100	/home/hamid/shaftcoin/memedepot.com/cdn-cgi/imagedelivery/naCPMwxXX46-hrE49eZovw/a5f109d6-a1b8-4969-37e6-f1a2791e7700/width=1080,quality=100.jpg	(from https://shaftcoin/)
01:41:45	42616/42616	URF---	200	added ('OK%20(cached)')	image/jpeg		https://www.dlnews.com/resizer/v2/RIRRJY5ESJE2HGD3VBUIOXSAXI.jpg?auth=eeb12a665cc4bc6a8b5e50c50944c2873c4632dd93152b9e5df3ab41ca1b1d40&width=1200&height=675&focal=825%2C540	/home/hamid/shaftcoin/www.dlnews.com/resizer/v2/RIRRJY5ESJE2HGD3VBUIOXSAXI2af4.jpg	(from https://shaftcoin/)
01:41:45	9454/9454	URF---	200	added ('OK%20(cached)')	image/png		https://assets.coingecko.com/coins/images/1/large/bitcoin.png	/home/hamid/shaftcoin/assets.coingecko.com/coins/images/1/large/bitcoin.png	(from https://shaftcoin/calculator.html)
01:41:46	69/69	---M-Z	200	added ('OK')	text/plain	date:Sat,%2012%20Apr%202025%2022:27:04%20GMT	https://pbs.twimg.com/robots.txt		(from https://shaftcoin/)
